"Machen_ChristianityLiberalism" "Machen_LitHistNT" "Machen_OriginPaulReligion" "Mencken_AmericanLanguage" "Mencken_DefenseWomen" "Mencken_Nietzche" "Poe_FallHouseUsher" "Poe_Works1" "Rian_Unbelief" "VanTil_ChristianTheisticEthics" "VanTil_ProtestantDoctrineScripture" "VanTil_SurveyChristianEpistemology"
"at" 0.436442989634479 0.542261850605041 0.535043224751858 0.323768244601687 0.485810485810486 0.38944626415289 0.538265805441378 0.816932788711474 0.42951971885982 0.304531533329284 0.259940145361265 0.392753610867883
"all" 0.512116572514651 0.316622691292876 0.299118653207732 0.31593514190971 0.471380471380471 0.615118768214995 0.450185946369152 0.408466394355737 0.156188988676298 0.501479277106343 0.557503206498504 0.483716027237718
"from" 0.418844481987927 0.436720953507415 0.540941339040461 0.434302027032908 0.269360269360269 0.349469992004746 0.518692503425328 0.543207256909448 0.312377977352597 0.353117760868999 0.40359127832407 0.377451522132771
"an" 0.45052179575172 0.398507870075516 0.35220168180516 0.476078574723448 0.382395382395382 0.428132979134965 0.479545899393228 0.388308312556363 0.156188988676298 0.389557431523786 0.283882000855066 0.508369392422066
"man" 0.371328511342238 0.14830315712856 0.165147200080888 0.066146200510022 0.483405483405483 0.527428880922291 0.0195733020160501 0.0785104238501936 0.0780944943381492 1.01857555592188 0.832834544677213 0.620584709812889
"or" 0.336131496049135 0.234737512510236 0.259517028698539 0.519595811901094 0.591630591630592 0.403631392979651 0.98845175181053 0.479550156490372 0.156188988676298 0.311472422977815 0.314664386489953 0.376601406091932
"has" 0.439962691163789 0.325721044490947 0.347988743027586 0.369026171266439 0.396825396825397 0.273386119206664 0.0293599530240752 0.202641769667392 0.273330730183522 0.39563070996625 0.417272338606242 0.465013474339247
"i" 0.0915122397620682 0.137385133290874 0.121332636794122 0.5213365013882 0.485810485810486 0.194723132076445 1.67351732237228 1.37923717574664 0 0.0537918947761129 0.0820863616930312 0.0935127644923532
"they" 0.348450451401721 0.33118005640979 0.300803828718761 0.337693760498533 0.704665704665705 0.348180434838676 0.0782932080642004 0.144289427616572 0.117141741507224 0.280238419559427 0.523300555793074 0.289039453885455
"on" 0.322052689931894 0.302065326175962 0.251933738898906 0.355100655369592 0.305435305435305 0.21793516106569 0.293599530240752 0.300249323643308 0.663803201874268 0.401703988408714 0.446344591705857 0.350247808825905
"no" 0.381887615930169 0.263852242744063 0.30417417974082 0.219326875375336 0.377585377585378 0.269517447708457 0.391466040321002 0.396795925945573 0.117141741507224 0.322751368656678 0.294142796066695 0.376601406091932
"one" 0.27981627158017 0.253844054226185 0.215702465411773 0.286343420628911 0.382395382395382 0.315941505686947 0.166373067136426 0.319346453769031 0.351425224521671 0.284576475589759 0.27704147071398 0.464163358298408
"there" 0.332611794519825 0.270221089982713 0.289007600141555 0.288084110116017 0.228475228475228 0.26435921904418 0.303386181248777 0.252506498329001 0.195236235845373 0.311472422977815 0.244548952543822 0.451411617685814
"if" 0.366048959048273 0.252024383586571 0.392645894069867 0.126199987815174 0.247715247715248 0.134113945271194 0.322959483264827 0.214312238077556 0.0780944943381492 0.36005865051753 0.283882000855066 0.536423221769772
"had" 0.193583584112067 0.502229096533527 0.474376906354797 0.158402743326632 0.117845117845118 0.304335491192325 0.753572127617929 0.592011033897406 0.468566966028895 0.186536409304263 0.0684053014108593 0.11901624571754
"been" 0.309733734579308 0.443999636065872 0.503867477797813 0.163624811787949 0.151515151515152 0.147009516931886 0.234879624192601 0.415893056071296 0.390472471690746 0.138817792970614 0.114578879863189 0.134318334452653
"so" 0.246379107051722 0.14830315712856 0.197165534790448 0.328990313063004 0.44011544011544 0.364944677997576 0.274026228224702 0.340565487242056 0.273330730183522 0.244666360110707 0.227447627191107 0.204877965842337
"its" 0.188304031818102 0.164680192885088 0.123017812305152 0.374248239727756 0.226070226070226 0.368813349495783 0.381679389312977 0.301310275316959 0.273330730183522 0.294120198856488 0.242838820008551 0.20062738563814
"upon" 0.302694331520687 0.18287689928123 0.278896547075378 0.168846880249267 0.266955266955267 0.31078327702267 0.587199060481503 0.416954007744947 0 0.153567183473742 0.128259940145361 0.251634348088514
"paul" 0.195343434876722 0.595032299153853 1.15771557607725 0.00261103423065876 0.00240500240500241 0.00773734299641503 0 0.00106095167365127 0 0.0355720594487198 0.049593843522873 0.0221030170618289
"more" 0.183024479524136 0.214721135474479 0.173573077636036 0.28895445485957 0.416065416065416 0.31207283418874 0.234879624192601 0.224921754814068 0.117141741507224 0.217770412722651 0.131680205215904 0.308592122824766
"would" 0.230540450169826 0.192885087799108 0.225813518477949 0.147958606403997 0.271765271765272 0.275965233538803 0.0685065570561754 0.250384594981699 0.156188988676298 0.301928699711085 0.182984181274049 0.315393051151482
"who" 0.336131496049135 0.235647347830043 0.271313257275745 0.124459298328068 0.401635401635402 0.346890877672607 0.0880798590722255 0.143228475942921 0.273330730183522 0.206491467043788 0.328345446772125 0.178524368576311
"only" 0.288615525403446 0.27113092530252 0.280581722586407 0.149699295891102 0.146705146705147 0.189564903412168 0.0880798590722255 0.163386557742295 0.117141741507224 0.27242991870483 0.244548952543822 0.272887249109503
"were" 0.137268359643102 0.364843963242653 0.337877689961409 0.22628963332376 0.127465127465127 0.286281690867356 0.244666275200626 0.321468357116333 0.390472471690746 0.118862735231088 0.0803762291577597 0.142819494861049
"what" 0.373088362106893 0.181967063961423 0.239294922566185 0.107052403457009 0.226070226070226 0.121218373610502 0.127226463104326 0.254628401676304 0.117141741507224 0.287179309207958 0.350577169730654 0.252484464129354
"their" 0.195343434876722 0.192885087799108 0.142397330681991 0.250659286143241 0.654160654160654 0.359786449333299 0.107653161088276 0.157020847700387 0.0780944943381492 0.180463130861798 0.336896109448482 0.127517406125936
"jesus" 0.89048448691551 0.350286598125739 0.711144065654438 0.00174068948710584 0.00240500240500241 0.00515822866427669 0 0 0.0780944943381492 0.174389852419334 0.106028217186832 0.0161522047759519
