"baum" "evans" "thompson"
"me" 0.370591062840991 0.363605535093586 0.255690343373222
"him" 0.343788003304972 0.211946231596002 0.344894209148124
"do" 0.310561069995858 0.424834446443542 0.28857656117042
"no" 0.354863647741344 0.287304891719025 0.266378364157311
"if" 0.314326789104224 0.381503216872804 0.233081068637647
"then" 0.338250181086787 0.196874499571398 0.249524177536247
"their" 0.308345941108583 0.4088207311674 0.202661317175238
"up" 0.210437244291059 0.224192013865993 0.450541183821625
"what" 0.239012406936898 0.412588664173551 0.31488553540818
"your" 0.24831594826345 0.616057046505713 0.202250239452773
"little" 0.255847386480182 0.244915645399825 0.349416064095239
"will" 0.291732474454026 0.447442044480449 0.175119109770084
"by" 0.276448085131833 0.30237662374363 0.262678664655126
"out" 0.230373404276528 0.2044103655837 0.381480126447507
"who" 0.290624910010389 0.299550673989016 0.217871192906443
"when" 0.31033955710713 0.277885059203647 0.179229886994734
"now" 0.252081667371816 0.269407209939807 0.283643628500841
"there" 0.26980269847001 0.284478941964412 0.216637959739048
"oz" 0.251417128705634 0.17049896852834 0.276244229496471
"would" 0.250088051373269 0.376793300615115 0.185396052831709
"into" 0.230373404276528 0.209120281841389 0.270489141381961
"could" 0.256290412257637 0.228901930123682 0.194850840448404
"or" 0.198918574077233 0.288246874970563 0.244180167144202
"us" 0.221512888727431 0.223250030614456 0.183340664219384
"can" 0.204677909184146 0.322158272025923 0.167719710765714
"an" 0.189615032750681 0.17897681779218 0.228559213690532
"ozma" 0.222177427393613 0.133761621718366 0.178818809272269
"very" 0.219297759840156 0.292014807976714 0.101947275171317
"see" 0.18452023630995 0.303318606995168 0.157031689981625
"over" 0.15948927988375 0.152601286749122 0.257334654263081
"like" 0.154615996331747 0.252451511412127 0.210060716179608
"back" 0.142432787451738 0.135645588221441 0.281177162166051
"king" 0.183855697643767 0.0301434640492092 0.249935255258712
"wizard" 0.227715249611799 0.0197816482822935 0.170597254822969
"which" 0.24654384515363 0.144123437485282 0.0739939900436976
"well" 0.148856661224833 0.262813327179043 0.200194850840448
"down" 0.136451939456097 0.0998502246630055 0.284054706223306
"scarecrow" 0.221512888727431 0.132819638466828 0.0949589538894119
"been" 0.170343411431394 0.180860784295255 0.163608933541065
"time" 0.162590460325934 0.227959946872145 0.15415414592437
"asked" 0.225057094947069 0.122457822699912 0.0645392024270029
"just" 0.133572271902641 0.230785896626758 0.186629285999104
"good" 0.184741749198677 0.150717320246046 0.122912239017031
"here" 0.159710792772477 0.144123437485282 0.172241565712829
"how" 0.144204890561557 0.159195169509886 0.189506830056359
"our" 0.161704408771024 0.297666707485941 0.0961921870568068
"way" 0.173223078984851 0.150717320246046 0.132778104356191
"know" 0.153729944776837 0.260929360675967 0.119623617237311
"more" 0.154172970554292 0.19593251631986 0.138122114748235
"great" 0.156166586552839 0.254335477915203 0.107702363285826
"before" 0.155502047886656 0.141297487730668 0.15086552414465
"did" 0.15860322832884 0.141297487730668 0.144699358307675
"magic" 0.178096362536854 0.017897681779218 0.16237570037367
"where" 0.184963262087405 0.0838365093868631 0.118801461792381
"people" 0.176545772315762 0.297666707485941 0.0394634613566387
"head" 0.141325223008101 0.0649968443561074 0.198550539950588
"upon" 0.218190195396519 0.0819525428837875 0.0464517826385435
"must" 0.155059022109201 0.233611846381371 0.0970143425017368
"tin" 0.20091219007578 0.145065420736819 0.0406966945240337
"about" 0.11208552169608 0.235495812884447 0.16402001126353
"go" 0.148413635447379 0.139413521227593 0.123323316739496
"any" 0.149078174113561 0.162021119264499 0.109757751898151
"some" 0.152400867444472 0.149775336994508 0.108113441008291
"after" 0.138002529677189 0.0923143586507032 0.152920912756975
"girl" 0.170343411431394 0.0499251123315027 0.110579907343081
"man" 0.167020718100483 0.17897681779218 0.0575508811450981
"made" 0.164141050547026 0.0810105596322497 0.104824819228572
"don^t" 0.132464707459003 0.192164583313709 0.0986586533915968
"only" 0.117623343914266 0.217598131105229 0.112224218232941
"other" 0.128920501239365 0.164847069019113 0.109346674175686
"i^m" 0.153065406110655 0.163905085767575 0.062072736092213
"again" 0.148856661224833 0.145065420736819 0.0772826118234175
"than" 0.139996145675736 0.112096006932997 0.101536197448852
"why" 0.113193086139717 0.12339980595145 0.146343669197535
"get" 0.14486942922774 0.134703604969904 0.0776936895458824
"away" 0.134015297680096 0.0725327103684097 0.119212539514846
"through" 0.109870392808806 0.129051705460677 0.136477803858375
"come" 0.102117441703346 0.158253186258348 0.13771103702577
"never" 0.117623343914266 0.102676174417619 0.130722715743866
