"tpc_ch1" "tpc_ch10" "tpc_ch11" "tpc_ch12" "tpc_ch13" "tpc_ch14" "tpc_ch15" "tpc_ch2" "tpc_ch3" "tpc_ch4" "tpc_ch5" "tpc_ch6" "tpc_ch7" "tpc_ch8" "tpc_ch9"
"or" 0.219084712755599 0 0.3511011809767 0.326708412741628 0.207986688851913 0.236102167847177 0.315706393054459 0.381227816484817 0.298804780876494 0.218459858001092 0.229357798165138 0.16940538709131 0.834560628375061 0.51041241322989 0.29520295202952
"are" 0.413826679649464 0.0606428138265616 0.4787743376955 0.313095562210727 0.207986688851913 0.558059669456965 0.631412786108919 0.289207309057447 0.184974388161639 0.109229929000546 0.275229357798165 0.372691851600881 0.343642611683849 0.163331972233565 0.29520295202952
"faith" 0.511197663096397 0.303214069132808 0.510692626875199 0.381159814865233 0.0831946755407654 0.622451169778923 0.210470928702973 0.512685684238202 0.298804780876494 0.273074822501365 0.321100917431193 0.0847026935456548 0.0981836033382425 0.0612494895875868 0.14760147601476
"one" 0.340798442064265 0.303214069132808 0.2234280242579 0.23141845902532 0.166389351081531 0.25756600128783 0.789265982636148 0.302353095832786 0.298804780876494 0.254869834334608 0.206422018348624 0.406572929019143 0.343642611683849 0.285830951408738 0.22140221402214
"presbytery" 0.0243427458617332 1.75864160097028 0.2872646026173 0.217805608494419 0.0831946755407654 0.042927666881305 0 0.407519390035494 0 0.0728199526670308 0.0458715596330275 0.16940538709131 0.319096710849288 1.24540628828093 1.03321033210332
"who" 0.53554040895813 0.121285627653123 0.3511011809767 0.23141845902532 0.166389351081531 0.493668169135007 0.315706393054459 0.289207309057447 0.22766078542971 0.4733296923357 0.229357798165138 0.35575131289175 0.0981836033382425 0.102082482645978 0.33210332103321
"been" 0.267770204479065 0.545785324439054 0.1276731567188 0.367546964334332 0.332778702163062 0.236102167847177 0.184162062615101 0.223478375180755 0.327262379055208 0.291279810668123 0.206422018348624 0.220227003218702 0.147275405007364 0.408329930583912 0.516605166051661
"new" 0.486854917234664 0 0.0957548675390999 0.258644160087122 0.291181364392679 0.214638334406525 0.184162062615101 0.552123044564217 0.241889584519067 0.218459858001092 0.114678899082569 0.135524309673048 0.0490918016691213 0.673744385463454 0.14760147601476
"bible" 0.292112950340798 0.242571255306246 0.829875518672199 0.299482711679826 0.0415973377703827 0.236102167847177 0.552486187845304 0.236624161956093 0.355719977233921 0.23666484616785 0.229357798165138 0.152464848382179 0.270004909180167 0.0204164965291956 0.14760147601476
"members" 0.0243427458617332 0.667070952092177 0.319182891797 0.449224067519739 0.62396006655574 0.407812835372397 0 0.105166294202708 0.142287990893569 0.345894775168396 0.0458715596330275 0.220227003218702 0.368188512518409 0.285830951408738 0.40590405904059
"rev" 0.0243427458617332 0.363856882959369 0.1276731567188 0.299482711679826 0.332778702163062 0.150246834084568 0.0263088660878716 0.289207309057447 0.284575981787137 0.291279810668123 0.137614678899083 0.254108080636964 0.122729504172803 0.571661902817477 0.516605166051661
"has" 0.243427458617332 0.121285627653123 0.1276731567188 0.136128505309012 0.249584026622296 0.34342133505044 0.578795053933175 0.302353095832786 0.398406374501992 0.200254869834335 0.252293577981651 0.152464848382179 0.171821305841924 0.265414454879543 0.0738007380073801
"no" 0.146056475170399 0.181928441479685 0.319182891797 0.190579907432616 0.415973377703827 0.386349001931745 0.236779794790845 0.315498882608124 0.213431986340353 0.127434917167304 0.114678899082569 0.287989158055226 0.319096710849288 0.326663944467129 0.0738007380073801
