"baum-dwo" "baum-eco" "baum-go" "baum-lpo" "baum-lwso" "baum-mlo" "baum-mo" "baum-oo" "baum-rbo" "baum-ro" "baum-so" "baum-tto" "baum-two" "baum-wwo" "evans-dmao" "evans-fmo" "thompson-cso" "thompson-hmo" "thompson-ko" "thompson-owo" "thompson-spo" "thompson-who"
"said" 0.660897679726132 0.716066507957336 0.531739801990226 0.705122759323762 0.658785308185182 0.762328653613959 0.679739222721989 0.780760392730311 0.518867924528302 0.746306544143778 0.597230425936864 0.706084478712705 0.69993844189599 0.845665961945032 1.04041616646659 0.989305551717468 0.0983671060397403 0.102014048791862 0.415282392026578 0.146905633163279 0.0987138170310368 0.0878992089071198
"all" 0.520635222518068 0.774176617241832 0.703922214063252 0.719989805454082 0.40610053244292 0.437983853784417 0.611512609288927 0.540526425736369 0.44811320754717 0.609229831954105 0.533788366038809 0.645323499832383 0.526663778755614 0.621513538296951 0.80032012805122 0.497416199187554 0.474348044680525 0.585852108776123 0.504727830309226 0.507492187291327 0.531312603431757 0.561202641483919
"so" 0.639501711677444 0.646709280746809 0.503886764743119 0.69662730439215 0.649760851908672 0.679466843438528 0.715115985242836 0.605807395028201 0.35377358490566 0.692998933847794 0.73286517468443 0.630657056654375 0.709058161008641 0.781986296135918 0.45732578745784 0.417276922651781 0.360679388812381 0.390568072517415 0.434449271658574 0.368599588664227 0.391951920564411 0.419211611710879
"at" 0.53727653100038 0.554857817684218 0.506418859038311 0.524594342027015 0.649760851908672 0.549255427448566 0.477586294031435 0.522247754334656 0.693396226415094 0.634614408285526 0.557852595655313 0.540563191418036 0.519823989421126 0.644438217988232 0.371577202309495 0.350954762760107 0.535554243994142 0.67329272202629 0.551580202742993 0.705147039183739 0.705513457015939 0.581487074308639
"she" 0.477843286420692 0.678576114870564 0.787481325804573 0.558576161753462 0.424149444995939 0.416676531167878 0.28806792338404 1.01838312095258 0.280660377358491 0.571152967456973 0.673798429262103 0.538467985249749 0.784295843688014 1.01378027968109 0.577373806665523 0.467018542570536 0.159573305353357 0.614998979859512 0.430189965073686 0.523518256363685 0.177104201143919 0.295251188893146
"not" 0.544408520349943 0.48737511012803 0.663408705340187 0.528842069492821 0.54146737659056 0.53268306541348 0.495274675291858 0.540526425736369 0.370283018867925 0.373153272071889 0.494410535757258 0.536372779081462 0.611021180547639 0.603683231870399 0.690276110444178 0.632823942299721 0.397840295538505 0.341018391675654 0.36843001959281 0.456742968562194 0.481955694916238 0.423719263449706
"be" 0.572936477748193 0.547359739066864 0.592510065074823 0.579814799082491 0.41512498871943 0.535050545704207 0.538232172638601 0.548360142051389 0.349056603773585 0.474691577397573 0.398153617291243 0.498659068052296 0.567702514762545 0.448304847296161 0.924655576516321 0.699146102191395 0.347563774673749 0.346847765892331 0.330096260328818 0.371270600176287 0.299044798652847 0.439496044535599
"on" 0.306675542031191 0.266181790916078 0.420327653001798 0.465126157505734 0.424149444995939 0.243850469944838 0.540759084247233 0.242845205765615 0.55188679245283 0.431537797634158 0.44628207652425 0.297519275896748 0.42634686851645 0.402455487913599 0.49448350768879 0.444911155939978 0.937766410912191 0.638316476726223 0.609080841638981 0.718502096744037 0.772290450889876 0.649101850391039
"this" 0.496861924686192 0.51361838528877 0.44058440736333 0.456630702574123 0.324880425954336 0.497170861052582 0.391671299337949 0.428243158554418 0.360849056603774 0.484845407930142 0.575353853558225 0.59294334562521 0.460545815188892 0.374436434957589 0.661693248728063 0.505706469174013 0.485277723129386 0.533387740826022 0.40037481897947 0.427361841929539 0.513892518073339 0.473303432576799
"we" 0.539653860783568 0.442386638423904 0.564657027827716 0.537337524424433 0.27975814457179 0.409574090295698 0.477586294031435 0.255901399623982 0.259433962264151 0.276691882012489 0.426593161383474 0.393898759637948 0.398987711178496 0.379530808222318 0.854627565311839 0.53886754911985 0.295101318119221 0.451776501792533 0.42167135190391 0.368599588664227 0.447115524199402 0.471049606707386
"dorothy" 0.568181818181818 0.725439106229029 0.557060744942142 0.395038654319939 0.252684775742262 0.0236748029072658 0.384090564512053 0.82776269062043 0.976415094339623 0.804691069706047 0.074380346087375 0.0796178343949045 0.132235927133444 0.881326574798135 0.871777282341508 0.0276342332881974 0 0.034976245300067 0.0830564784053156 0.344560485055691 0 0.698686019518132
